   -1.29588e-20 -1 1.64323  -4.30281e-20   1
   5.84     -13.9981 -6.54813e-10 0.552736  0.999614   -3.63818e-08
   5.9     -14.0042 6.82765e-11 0.534881  0.999621   -2.94139e-08
   5.96     -13.9924 3.77035e-10 0.539432  0.999819   -2.37288e-08
   6.02     -13.9699 3.84486e-10 0.538224  0.999845   -2.02584e-08
   6.08     -13.9603 3.29839e-10 0.541302  0.999495   -1.92991e-08
   6.14     -13.966 4.38514e-10 0.540596  0.99982   -1.84757e-08
   6.2     -13.983 7.47653e-10 0.539129  0.99991   -1.80778e-08
   6.26     -13.9915 9.28532e-10 0.540148  0.999603   -1.78687e-08
   6.32     -13.9909 9.36503e-10 0.540124  0.999655   -1.77386e-08
   6.38     -13.9511 2.42051e-10 0.538704  0.977633   -1.72815e-08
   6.44     -13.8923 -7.84645e-10 0.498985  0.829718   -1.46295e-08
   6.5     -13.8451 -1.60716e-09 0.428338  0.585202   -1.0296e-08
   6.56     -13.8101 -2.21471e-09 0.355175  0.325111   -5.71265e-09
   6.62     -13.7781 -2.77115e-09 0.298396  0.115189   -2.02097e-09
   6.68     -13.7355 -3.52467e-09 0.270884  0.0253798   -4.34351e-10
   6.74     -13.6858 -4.39884e-09 0.229821  -0.114963   2.02879e-09
   6.8     -13.6479 -5.06502e-09 0.176191  -0.326901   5.7573e-09
   6.86     -13.6364 -5.26525e-09 0.151808  -0.498117   8.75472e-09
   6.92     -13.6478 -5.0649e-09 0.145768  -0.613491   1.07775e-08
   6.98     -13.6669 -4.72875e-09 0.141897  -0.683767   1.20117e-08
   7.04     -13.6911 -4.30324e-09 0.138456  -0.72591   1.27511e-08
   7.1     -13.7172 -3.84445e-09 0.134987  -0.756952   1.3296e-08
   7.16     -13.7401 -3.44373e-09 0.136738  -0.78959   1.38674e-08
   7.22     -13.7461 -3.35353e-09 0.131811  -0.770741   1.34802e-08
   7.28     -13.7507 -3.28259e-09 0.14327  -0.640031   1.12235e-08
   7.34     -13.7644 -3.04405e-09 0.15795  -0.446995   7.83765e-09
   7.4     -13.791 -2.57689e-09 0.173515  -0.176796   3.09565e-09
   7.46     -13.8359 -1.78763e-09 0.184002  0.176601   -3.10583e-09
   7.52     -13.8896 -8.47409e-10 0.232499  0.453752   -7.95782e-09
   7.58     -13.9135 -4.30764e-10 0.254755  0.53167   -9.31991e-09
   7.64     -13.9163 -3.8297e-10 0.254341  0.532313   -9.33047e-09
   7.7     -13.8974 -7.14095e-10 0.233659  0.457693   -8.02035e-09
   7.76     -13.8772 -1.06766e-09 0.221074  0.394212   -6.91253e-09
   7.82     -13.8755 -1.09641e-09 0.226629  0.434893   -7.62821e-09
